Accession,year,conforms
GSE43575,2013,1
GSE43577,2013,1
GSE43586,2013,1
GSE43603,2013,0
GSE43614,2013,1
GSE43616,2016,1
GSE43617,2013,1
GSE43631,2014,0
GSE43648,2013,1
GSE43649,2016,1
GSE43650,2014,1
GSE43652,2013,1
GSE43660,2013,1
GSE43666,2013,0
GSE43667,2013,1
GSE43703,2013,1
GSE43717,2013,0
GSE43718,2015,1
GSE43721,2013,0
GSE43725,2013,0
GSE43726,2016,0
GSE43734,2013,1
GSE43735,2014,1
GSE43747,2013,1
GSE43770,2014,1
GSE43785,2015,1
GSE43788,2014,1
GSE43789,2014,0
GSE43791,2015,0
GSE43801,2013,0
GSE43829,2013,0
GSE43834,2013,0
GSE43835,2013,0
GSE43836,2013,0
GSE43843,2016,0
GSE43845,2016,0
GSE43858,2013,0
GSE43865,2013,1
GSE43871,2013,0
GSE43879,2013,1
GSE43892,2013,0
GSE43893,2013,1
GSE43900,2013,0
GSE43916,2013,1
GSE43919,2013,0
GSE43925,2013,1
GSE43938,2013,0
GSE43948,2013,0
GSE43970,2013,0
GSE43983,2015,1
GSE43984,2015,0
GSE43986,2014,0
GSE43988,2014,0
GSE43995,2013,0
GSE43999,2013,0
GSE44020,2013,0
GSE44023,2013,1
GSE44026,2013,0
GSE44027,2018,1
GSE44039,2014,0
GSE44058,2013,1
GSE44061,2013,1
GSE44062,2013,1
GSE44064,2013,1
GSE44065,2013,0
GSE44067,2013,1
GSE44072,2013,1
GSE44075,2013,0
GSE44083,2013,1
GSE44100,2013,1
GSE44150,2016,1
GSE44157,2013,1
GSE44158,2013,1
GSE44163,2013,0
GSE44171,2013,0
GSE44183,2013,1
GSE44215,2015,1
GSE44219,2013,1
GSE44229,2013,1
GSE44232,2014,0
GSE44233,2014,1
GSE44253,2013,1
GSE44256,2013,0
GSE44267,2013,0
GSE44269,2013,0
GSE44278,2013,0
GSE44288,2013,0
GSE44333,2013,1
GSE44336,2013,0
GSE44341,2013,1
GSE44346,2014,1
GSE44347,2013,0
GSE44351,2013,0
GSE44352,2013,0
GSE44359,2013,1
GSE44366,2013,1
GSE44367,2013,0
GSE44375,2014,0
GSE44376,2013,1
GSE44377,2013,1
GSE44378,2013,1
GSE44379,2013,1
GSE44384,2013,0
GSE44385,2013,0
GSE44386,2013,0
GSE44402,2013,1
GSE44404,2013,0
GSE44428,2013,0
GSE44457,2013,1
GSE44461,2015,0
GSE44536,2013,1
GSE44553,2013,1
GSE44564,2013,1
GSE44566,2013,0
GSE44573,2015,1
GSE44575,2014,0
GSE44576,2015,0
GSE44578,2014,0
GSE44582,2013,0
GSE44584,2013,0
GSE44585,2014,0
GSE44591,2013,0
GSE44611,2014,1
GSE44612,2013,0
GSE44615,2013,1
GSE44616,2013,0
GSE44618,2013,0
GSE44635,2013,0
GSE44640,2013,1
GSE44641,2013,0
GSE44646,2014,1
GSE44648,2013,0
GSE44654,2013,1
GSE44665,2013,1
GSE44668,2013,1
GSE44669,2013,0
GSE44672,2014,1
GSE44673,2014,0
GSE44674,2013,1
GSE44675,2013,0
GSE44681,2016,1
GSE44682,2013,1
GSE44690,2013,0
GSE44696,2013,0
GSE44698,2013,1
GSE44718,2013,1
GSE44728,2013,1
GSE44733,2013,1
GSE44769,2013,1
GSE44775,2013,1
GSE44779,2013,1
GSE44796,2016,1
GSE44799,2013,1
GSE44801,2013,0
GSE44804,2013,0
GSE44831,2013,1
GSE44845,2014,1
GSE44846,2013,1
GSE44866,2014,0
GSE44875,2014,1
GSE44911,2014,1
GSE44913,2013,0
GSE44928,2016,0
GSE44935,2013,1
GSE44942,2013,1
GSE44945,2013,1
GSE44947,2013,0
GSE44959,2013,0
GSE44976,2013,0
GSE44995,2015,1
GSE45008,2014,0
GSE45037,2014,1
GSE45048,2013,1
GSE45112,2014,0
GSE45118,2014,0
GSE45119,2013,0
GSE45132,2013,1
GSE45133,2013,1
GSE45137,2013,0
GSE45141,2013,1
GSE45144,2013,0
GSE45148,2013,1
GSE45152,2013,1
GSE45154,2014,0
GSE45157,2013,1
GSE45162,2015,1
GSE45176,2013,0
GSE45180,2013,0
GSE45182,2013,1
GSE45202,2013,1
GSE45203,2013,0
GSE45204,2014,0
GSE45209,2013,0
GSE45211,2013,1
GSE45213,2014,1
GSE45237,2013,1
GSE45242,2013,0
GSE45243,2014,1
GSE45244,2014,0
GSE45247,2014,1
GSE45254,2013,1
GSE45258,2013,0
GSE45263,2014,1
GSE45272,2015,1
GSE45277,2013,0
GSE45278,2013,1
GSE45282,2013,0
GSE45284,2013,1
GSE45285,2013,0
GSE45311,2013,0
GSE45312,2013,0
GSE45313,2013,0
GSE45314,2013,0
GSE45315,2013,0
GSE45316,2013,0
GSE45317,2013,0
GSE45318,2013,0
GSE45319,2014,0
GSE45325,2013,1
GSE45326,2013,0
GSE45332,2013,1
GSE45334,2013,0
GSE45335,2013,1
GSE45337,2013,0
GSE45338,2017,0
GSE45358,2013,1
GSE45376,2013,0
GSE45400,2016,1
GSE45406,2013,1
GSE45408,2013,0
GSE45410,2013,0
GSE45419,2013,1
GSE45428,2013,1
GSE45431,2013,1
GSE45439,2013,1
GSE45442,2013,1
GSE45443,2013,1
GSE45444,2013,1
GSE45445,2013,1
GSE45446,2015,0
GSE45448,2015,0
GSE45453,2013,0
GSE45474,2013,0
GSE45489,2013,0
GSE45503,2013,0
GSE45504,2013,0
GSE45505,2013,0
GSE45510,2015,1
GSE45511,2013,0
GSE45517,2013,0
GSE45518,2013,1
GSE45532,2013,1
GSE45555,2013,0
GSE45568,2013,1
GSE45569,2013,1
GSE45597,2014,0
GSE45628,2013,1
GSE45637,2014,0
GSE45654,2015,1
GSE45657,2014,0
GSE45669,2013,1
GSE45671,2013,0
GSE45676,2013,0
GSE45678,2013,1
GSE45684,2014,1
GSE45685,2013,0
GSE45687,2013,0
GSE45693,2013,0
GSE45696,2013,0
GSE45699,2013,0
GSE45703,2017,1
GSE45706,2013,1
GSE45715,2013,0
GSE45719,2014,0
GSE45732,2014,0
GSE45734,2013,1
GSE45735,2013,1
GSE45760,2014,1
GSE45762,2013,1
GSE45764,2013,0
GSE45774,2013,1
GSE45782,2013,0
GSE45785,2013,1
GSE45786,2013,1
GSE45787,2013,0
GSE45788,2016,1
GSE45822,2013,0
GSE45833,2013,0
GSE45855,2013,0
GSE45873,2013,0
GSE45883,2013,1
GSE45888,2014,0
GSE45893,2013,0
GSE45894,2013,1
GSE45908,2016,0
GSE45909,2014,1
GSE45910,2014,0
GSE45914,2013,1
GSE45930,2015,1
GSE45936,2015,0
GSE45975,2013,0
GSE45977,2013,1
GSE45982,2013,0
GSE45989,2014,0
GSE46008,2013,0
GSE46009,2013,0
GSE46030,2014,1
GSE46038,2013,1
GSE46044,2013,0
GSE46046,2014,1
GSE46051,2013,1
GSE46056,2013,1
GSE46066,2013,1
GSE46069,2014,1
GSE46070,2013,0
GSE46073,2014,0
GSE46096,2013,0
GSE46100,2013,0
GSE46101,2013,0
GSE46104,2013,0
GSE46118,2014,0
GSE46120,2014,0
GSE46127,2014,1
GSE46130,2013,0
GSE46133,2013,0
GSE46149,2013,0
GSE46153,2013,1
GSE46160,2013,1
GSE46162,2013,0
GSE46164,2013,0
GSE46207,2013,1
GSE46213,2013,1
GSE46217,2013,0
GSE46220,2013,0
GSE46224,2014,1
GSE46225,2013,0
GSE46226,2014,1
GSE46228,2013,1
GSE46232,2013,0
GSE46240,2013,1
GSE46253,2013,0
GSE46256,2013,1
GSE46257,2013,1
GSE46265,2016,0
GSE46277,2014,1
GSE46281,2013,0
GSE46299,2014,0
GSE46310,2013,1
GSE46316,2013,0
GSE46323,2013,1
GSE46340,2013,1
GSE46344,2013,1
GSE46354,2013,1
GSE46363,2013,1
GSE46379,2014,0
GSE46380,2014,1
GSE46382,2014,1
GSE46386,2013,0
GSE46387,2013,1
GSE46388,2013,1
GSE46389,2013,0
GSE46391,2013,1
GSE46399,2014,0
GSE46423,2013,1
GSE46424,2013,0
GSE46431,2014,1
GSE46433,2013,0
GSE46434,2016,1
GSE46446,2014,0
GSE46479,2013,1
GSE46483,2014,1
GSE46484,2014,0
GSE46486,2013,1
GSE46487,2013,0
GSE46488,2013,0
GSE46490,2013,1
GSE46491,2013,0
GSE46494,2013,1
GSE46501,2013,1
GSE46502,2014,1
GSE46503,2014,0
GSE46506,2014,0
GSE46507,2013,0
GSE46508,2013,0
GSE46513,2014,1
GSE46514,2013,1
GSE46516,2014,0
GSE46523,2013,0
GSE46535,2016,0
GSE46545,2014,0
GSE46559,2014,1
GSE46561,2014,0
GSE46562,2013,1
GSE46597,2016,1
GSE46598,2016,0
GSE46611,2013,1
GSE46613,2016,1
GSE46622,2013,0
GSE46635,2013,0
GSE46636,2013,0
GSE46637,2013,0
GSE46638,2013,0
GSE46639,2013,0
GSE46664,2014,0
GSE46665,2013,0
GSE46669,2013,1
GSE46678,2015,1
GSE46688,2013,1
GSE46690,2013,0
GSE46692,2014,0
GSE46700,2013,0
GSE46705,2013,0
GSE46716,2014,0
GSE46718,2014,1
GSE46730,2014,1
GSE46737,2014,1
GSE46740,2014,0
GSE46741,2013,0
GSE46755,2016,0
GSE46761,2013,0
GSE46764,2014,0
GSE46765,2014,0
GSE46805,2013,0
GSE46807,2013,1
GSE46810,2013,1
GSE46815,2016,0
GSE46817,2013,0
GSE46818,2013,0
GSE46831,2013,1
GSE46833,2013,0
GSE46838,2013,0
GSE46846,2018,0
GSE46858,2013,0
GSE46859,2013,0
GSE46876,2014,0
GSE46878,2014,1
GSE46880,2014,0
GSE46883,2013,0
GSE46893,2013,0
GSE46908,2013,0
GSE46915,2013,1
GSE46916,2015,1
GSE46930,2014,0
GSE46953,2013,0
GSE46954,2013,0
GSE46959,2013,0
GSE46965,2014,0
GSE46980,2013,1
GSE47006,2013,0
GSE47019,2014,0
GSE47023,2014,1
GSE47033,2014,0
GSE47042,2014,1
GSE47043,2014,0
GSE47048,2013,1
GSE47058,2014,1
GSE47062,2013,1
GSE47081,2015,1
GSE47083,2015,1
GSE47085,2015,0
GSE47089,2013,1
GSE47095,2014,1
GSE47114,2013,1
GSE47117,2014,1
GSE47124,2013,0
GSE47136,2014,0
GSE47157,2015,1
GSE47160,2015,0
GSE47207,2013,1
GSE47222,2014,0
GSE47224,2014,0
GSE47226,2014,0
GSE47342,2013,0
GSE47348,2013,1
GSE47365,2013,0
GSE47370,2013,0
GSE47372,2013,0
GSE47374,2013,0
GSE47395,2014,1
GSE47399,2013,1
GSE47428,2013,1
GSE47433,2013,1
GSE47442,2013,1
GSE47447,2013,1
GSE47449,2013,0
GSE47450,2013,0
GSE47454,2014,0
GSE47459,2013,1
GSE47462,2014,1
GSE47474,2013,1
GSE47480,2013,1
GSE47484,2013,0
GSE47485,2013,0
GSE47488,2013,0
GSE47494,2013,1
GSE47496,2013,0
GSE47497,2013,1
GSE47502,2013,0
GSE47509,2013,0
GSE47536,2015,0
GSE47537,2015,0
GSE47540,2013,1
GSE47558,2013,1
GSE47573,2013,1
GSE47604,2013,0
GSE47626,2013,1
GSE47636,2013,0
GSE47653,2016,1
GSE47656,2013,1
GSE47661,2013,0
GSE47678,2013,0
GSE47680,2013,0
GSE47691,2014,0
GSE47692,2014,1
GSE47702,2015,0
GSE47703,2013,0
GSE47705,2013,0
GSE47707,2013,0
GSE47708,2013,1
GSE47709,2014,1
GSE47718,2014,0
GSE47721,2013,1
GSE47735,2014,0
GSE47736,2014,1
GSE47747,2013,0
GSE47757,2013,0
GSE47759,2014,0
GSE47773,2016,1
GSE47774,2014,1
GSE47780,2013,0
GSE47787,2014,1
GSE47792,2014,0
GSE47793,2014,0
GSE47794,2013,0
GSE47805,2013,0
GSE47806,2013,0
GSE47807,2013,0
GSE47817,2014,1
GSE47819,2014,0
GSE47835,2014,0
GSE47837,2014,0
GSE47851,2014,0
GSE47863,2013,0
GSE47877,2014,0
GSE47883,2014,0
GSE47885,2013,0
GSE47894,2014,0
GSE47917,2015,0
GSE47919,2016,1
GSE47926,2013,1
GSE47933,2013,1
GSE47938,2013,0
GSE47942,2015,1
GSE47944,2014,1
GSE47946,2015,0
GSE47948,2013,1
GSE47950,2013,0
GSE47954,2017,1
GSE47964,2013,1
GSE47965,2014,0
GSE47966,2013,0
GSE47986,2013,1
GSE47997,2013,1
GSE47998,2013,0
GSE47999,2016,1
GSE48003,2013,0
GSE48005,2013,1
GSE48007,2013,0
GSE48020,2013,1
GSE48026,2013,0
GSE48032,2014,1
GSE48033,2014,1
GSE48034,2014,1
GSE48035,2014,1
GSE48040,2013,0
GSE48043,2013,1
GSE48048,2013,1
GSE48052,2013,0
GSE48065,2014,0
GSE48066,2013,0
GSE48071,2013,1
GSE48083,2015,1
GSE48084,2015,0
GSE48085,2014,0
GSE48086,2014,0
GSE48103,2014,0
GSE48105,2014,0
GSE48109,2013,1
GSE48138,2013,1
GSE48140,2013,1
GSE48147,2013,0
GSE48151,2013,1
GSE48156,2013,0
GSE48159,2013,1
GSE48161,2013,0
GSE48165,2015,1
GSE48166,2013,1
GSE48168,2013,0
GSE48172,2013,0
GSE48173,2013,0
GSE48193,2013,0
GSE48199,2014,1
GSE48206,2013,1
GSE48208,2013,1
GSE48213,2013,0
GSE48216,2013,0
GSE48229,2014,0
GSE48230,2013,1
GSE48235,2014,1
GSE48236,2016,0
GSE48240,2013,0
GSE48242,2014,1
GSE48243,2013,0
GSE48245,2014,0
GSE48247,2014,0
GSE48251,2014,0
GSE48252,2013,1
GSE48263,2013,0
GSE48282,2013,1
GSE48286,2013,0
GSE48305,2013,1
GSE48307,2013,0
GSE48317,2013,0
GSE48321,2014,1
GSE48324,2014,1
GSE48327,2014,1
GSE48349,2013,0
GSE48364,2013,0
GSE48387,2014,0
GSE48394,2014,1
GSE48403,2013,1
GSE48409,2013,0
GSE48419,2013,0
GSE48423,2014,0
GSE48425,2013,0
GSE48427,2013,0
GSE48436,2013,0
GSE48475,2013,0
GSE48480,2013,0
GSE48481,2015,0
GSE48487,2013,1
GSE48497,2013,0
GSE48507,2014,1
GSE48514,2013,0
GSE48519,2014,0
GSE48524,2014,1
GSE48537,2013,0
GSE48553,2014,1
GSE48555,2014,0
GSE48563,2013,1
GSE48585,2013,0
GSE48594,2013,1
GSE48599,2014,1
GSE48603,2014,1
GSE48606,2013,1
GSE48607,2013,1
GSE48608,2013,1
GSE48617,2016,1
GSE48650,2014,1
GSE48654,2014,0
GSE48661,2014,1
GSE48663,2013,1
GSE48671,2015,1
GSE48678,2013,0
GSE48685,2013,0
GSE48763,2013,1
GSE48764,2013,1
GSE48767,2014,1
GSE48770,2014,0
GSE48777,2013,1
GSE48778,2013,0
GSE48785,2013,1
GSE48799,2015,0
GSE48808,2013,0
GSE48809,2013,0
GSE48810,2013,0
GSE48812,2014,1
GSE48829,2013,1
GSE48832,2013,0
GSE48843,2016,0
GSE48846,2013,0
GSE48850,2013,1
GSE48851,2013,1
GSE48861,2013,0
GSE48862,2013,1
GSE48865,2014,0
GSE48870,2013,1
GSE48878,2013,1
GSE48887,2013,0
GSE48888,2013,1
GSE48889,2014,1
GSE48895,2014,1
GSE48896,2013,0
GSE48898,2013,0
GSE48900,2015,1
GSE48918,2013,0
GSE48933,2013,0
GSE48953,2015,1
GSE48962,2013,1
GSE48963,2013,0
GSE48965,2013,1
GSE48966,2015,0
GSE48968,2014,1
GSE48974,2013,0
GSE48981,2013,1
GSE48993,2013,0
GSE49018,2013,0
GSE49023,2014,0
GSE49026,2014,1
GSE49027,2013,0
GSE49043,2013,1
GSE49047,2013,1
GSE49074,2014,0
GSE49087,2014,1
GSE49088,2014,1
GSE49089,2014,0
GSE49090,2013,0
GSE49097,2014,1
GSE49106,2014,1
GSE49109,2013,1
GSE49110,2014,1
GSE49114,2013,0
GSE49116,2013,0
GSE49121,2015,1
GSE49127,2013,1
GSE49133,2014,0
GSE49134,2014,0
GSE49147,2014,1
GSE49155,2014,1
GSE49159,2015,1
GSE49186,2014,0
GSE49188,2014,0
GSE49191,2013,0
GSE49197,2013,1
GSE49233,2013,0
GSE49234,2013,0
GSE49247,2013,1
GSE49258,2015,0
GSE49289,2014,1
GSE49295,2014,1
GSE49309,2013,1
GSE49310,2015,1
GSE49312,2013,0
GSE49313,2013,1
GSE49321,2013,0
GSE49339,2013,1
GSE49363,2014,1
GSE49366,2014,0
GSE49372,2014,0
GSE49378,2013,0
GSE49379,2014,1
GSE49389,2013,1
GSE49408,2015,1
GSE49410,2015,1
GSE49417,2014,0
GSE49425,2016,1
GSE49433,2013,1
GSE49434,2013,1
GSE49435,2013,0
GSE49449,2014,1
GSE49456,2013,0
GSE49457,2013,0
GSE49460,2013,0
GSE49480,2014,0
GSE49484,2013,0
GSE49485,2014,0
GSE49517,2014,0
GSE49538,2013,0
GSE49540,2014,0
GSE49555,2014,1
GSE49571,2013,1
GSE49573,2013,1
GSE49575,2013,0
GSE49581,2013,1
GSE49587,2013,1
GSE49592,2013,1
GSE49601,2013,0
GSE49606,2014,0
GSE49607,2014,0
GSE49608,2014,1
GSE49622,2014,0
GSE49624,2014,0
GSE49633,2014,1
GSE49636,2014,0
GSE49642,2013,0
GSE49648,2014,1
GSE49649,2014,0
GSE49660,2014,0
GSE49662,2013,1
GSE49669,2014,1
GSE49672,2013,0
GSE49682,2013,0
GSE49687,2014,0
GSE49700,2014,1
GSE49711,2015,1
GSE49712,2013,1
GSE49715,2013,1
GSE49716,2014,1
GSE49761,2013,1
GSE49764,2013,0
GSE49765,2013,1
GSE49797,2013,1
GSE49805,2015,0
GSE49806,2013,1
GSE49807,2013,1
GSE49809,2014,1
GSE49828,2014,1
GSE49829,2013,0
GSE49830,2013,1
GSE49831,2013,1
GSE49833,2014,0
GSE49834,2014,0
GSE49843,2013,1
GSE49844,2013,0
GSE49847,2013,0
GSE49865,2013,0
GSE49890,2014,0
GSE49893,2014,0
GSE49906,2014,0
GSE49911,2014,1
GSE49915,2013,0
GSE49929,2013,1
GSE49931,2013,0
GSE49932,2014,0
GSE49933,2014,0
GSE49934,2014,0
GSE49945,2013,0
GSE49946,2014,1
GSE49949,2014,0
GSE49950,2013,0
GSE49966,2013,0
GSE49994,2014,1
GSE50018,2014,1
GSE50027,2014,1
GSE50049,2013,1
GSE50050,2013,0
GSE50068,2013,1
GSE50079,2013,1
GSE50080,2013,0
GSE50156,2013,1
GSE50172,2013,0
GSE50174,2014,1
GSE50177,2013,1
GSE50184,2014,1
GSE50191,2016,1
GSE50198,2014,1
GSE50201,2014,0
GSE50203,2014,1
GSE50205,2013,0
GSE50243,2013,0
GSE50244,2014,1
GSE50246,2014,1
GSE50377,2013,0
GSE50386,2013,0
GSE50398,2014,0
GSE50424,2014,1
GSE50430,2016,1
GSE50445,2014,0
GSE50446,2013,0
GSE50459,2013,0
GSE50464,2014,0
GSE50466,2013,0
GSE50486,2014,0
GSE50491,2014,0
GSE50497,2013,0
GSE50499,2014,1
GSE50514,2013,1
GSE50515,2013,0
GSE50522,2013,0
GSE50534,2016,0
GSE50535,2014,1
GSE50544,2013,0
GSE50548,2014,1
GSE50554,2014,1
GSE50557,2014,1
GSE50561,2014,1
GSE50566,2016,1
GSE50580,2014,0
GSE50582,2014,0
GSE50583,2014,0
GSE50585,2014,0
GSE50590,2014,1
GSE50593,2013,1
GSE50597,2013,1
GSE50598,2015,1
GSE50599,2014,1
GSE50612,2015,1
GSE50630,2014,0
GSE50636,2014,1
GSE50669,2016,0
GSE50676,2013,1
GSE50688,2013,0
GSE50689,2014,0
GSE50699,2014,1
GSE50708,2014,1
GSE50711,2014,0
GSE50715,2015,0
GSE50721,2013,1
GSE50724,2013,1
GSE50726,2014,1
GSE50739,2013,1
GSE50747,2014,1
GSE50760,2014,0
GSE50763,2017,0
GSE50766,2013,0
GSE50773,2013,0
GSE50775,2014,1
GSE50776,2015,1
GSE50777,2013,1
GSE50778,2014,0
GSE50781,2014,1
GSE50782,2013,1
GSE50793,2014,0
GSE50807,2013,1
GSE50809,2014,1
GSE50849,2015,0
GSE50856,2014,0
GSE50860,2013,1
GSE50870,2013,0
GSE50893,2013,1
GSE50896,2013,1
GSE50915,2014,1
GSE50918,2014,0
GSE50922,2013,0
GSE50927,2014,1
GSE50932,2013,1
GSE50934,2014,0
GSE50937,2013,1
GSE50942,2014,0
GSE50956,2016,0
GSE50957,2013,0
GSE50958,2016,0
GSE50983,2014,0
GSE50989,2013,0
GSE50990,2013,0
GSE51005,2014,1
GSE51006,2013,1
GSE51007,2017,1
GSE51008,2014,0
GSE51011,2014,0
GSE51025,2018,1
GSE51035,2013,0
GSE51036,2013,0
GSE51037,2013,1
GSE51041,2014,1
GSE51047,2013,1
GSE51050,2013,0
GSE51052,2014,0
GSE51069,2014,0
GSE51091,2014,0
GSE51096,2013,0
GSE51112,2013,1
GSE51116,2014,0
GSE51119,2014,1
GSE51121,2014,0
GSE51124,2013,1
GSE51136,2013,1
GSE51137,2015,0
GSE51138,2013,0
GSE51144,2013,1
GSE51145,2013,1
GSE51149,2013,0
GSE51156,2013,1
GSE51157,2014,1
GSE51164,2013,0
GSE51166,2013,0
GSE51187,2013,0
GSE51217,2013,1
GSE51224,2014,0
GSE51225,2014,0
GSE51238,2014,0
GSE51254,2013,1
GSE51261,2014,1
GSE51264,2014,1
GSE51278,2013,0
GSE51279,2013,0
GSE51281,2016,0
GSE51282,2014,0
GSE51293,2014,1
GSE51304,2013,0
GSE51310,2013,1
GSE51312,2013,0
GSE51326,2014,0
GSE51327,2016,1
GSE51345,2014,1
GSE51363,2015,0
GSE51372,2014,1
GSE51374,2018,1
GSE51399,2016,1
GSE51403,2014,1
GSE51412,2013,0
GSE51415,2013,1
GSE51418,2015,0
GSE51423,2014,0
GSE51424,2014,0
GSE51428,2014,0
GSE51431,2014,1
GSE51443,2014,1
GSE51468,2014,0
GSE51477,2014,0
GSE51487,2014,0
GSE51505,2013,1
GSE51510,2014,0
GSE51518,2014,0
GSE51519,2014,0
GSE51522,2013,0
GSE51534,2013,0
GSE51553,2013,1
GSE51556,2014,0
GSE51560,2013,1
GSE51572,2013,1
GSE51573,2013,1
GSE51576,2014,1
GSE51578,2015,0
GSE51584,2014,1
GSE51597,2015,1
GSE51602,2013,1
GSE51606,2013,1
GSE51607,2013,1
GSE51619,2013,0
GSE51620,2016,0
GSE51633,2014,0
GSE51645,2013,1
GSE51646,2014,1
GSE51667,2014,1
GSE51681,2015,0
GSE51682,2015,0
GSE51684,2013,1
GSE51685,2013,1
GSE51720,2014,1
GSE51721,2014,0
GSE51733,2013,0
GSE51735,2013,0
GSE51737,2013,1
GSE51740,2013,0
GSE51741,2013,0
GSE51742,2015,1
GSE51744,2014,0
GSE51745,2014,0
GSE51763,2013,0
GSE51764,2013,0
GSE51769,2014,0
GSE51772,2014,1
GSE51773,2014,0
GSE51783,2014,1
GSE51799,2015,1
GSE51809,2013,1
GSE51825,2014,0
GSE51827,2014,1
GSE51847,2013,1
GSE51856,2014,1
GSE51858,2014,0
GSE51861,2013,1
GSE51878,2014,1
GSE51879,2014,1
GSE51881,2014,0
GSE51893,2014,1
GSE51894,2014,0
GSE51900,2014,0
GSE51924,2013,0
GSE51926,2013,0
GSE51968,2013,1
GSE51975,2014,1
GSE51984,2016,0
GSE52000,2015,1
GSE52006,2014,1
GSE52016,2013,1
GSE52020,2014,1
GSE52021,2015,0
GSE52031,2014,1
GSE52036,2014,1
GSE52038,2013,1
GSE52043,2014,1
GSE52045,2014,1
GSE52047,2014,0
GSE52058,2013,1
GSE52059,2014,1
GSE52069,2013,0
GSE52071,2014,0
GSE52077,2013,1
GSE52080,2014,1
GSE52082,2014,1
GSE52084,2014,0
GSE52086,2014,1
GSE52090,2013,1
GSE52111,2014,1
GSE52119,2013,1
GSE52123,2014,0
GSE52125,2015,1
GSE52126,2013,0
GSE52133,2013,1
GSE52148,2014,1
GSE52149,2014,0
GSE52153,2014,1
GSE52160,2014,0
GSE52166,2013,0
GSE52176,2014,0
GSE52178,2014,0
GSE52194,2013,0
GSE52198,2014,0
GSE52201,2014,1
GSE52202,2013,1
GSE52228,2013,0
GSE52234,2013,1
GSE52236,2014,0
GSE52242,2013,1
GSE52248,2014,1
GSE52249,2013,1
GSE52251,2013,0
GSE52257,2014,0
GSE52260,2016,1
GSE52261,2013,1
GSE52279,2013,0
GSE52284,2014,1
GSE52285,2015,0
GSE52287,2014,0
GSE52289,2013,1
GSE52290,2015,0
GSE52291,2013,0
GSE52297,2015,0
GSE52316,2014,0
GSE52318,2015,0
GSE52320,2014,1
GSE52323,2014,0
GSE52331,2013,0
GSE52332,2013,0
GSE52339,2014,1
GSE52345,2014,0
GSE52359,2016,0
GSE52367,2014,1
GSE52370,2014,1
GSE52385,2014,1
GSE52394,2016,0
GSE52396,2013,0
GSE52397,2013,0
GSE52402,2013,1
GSE52407,2015,1
GSE52409,2015,0
GSE52415,2014,1
GSE52429,2014,0
GSE52431,2014,1
GSE52438,2014,1
GSE52441,2013,0
GSE52447,2013,1
GSE52450,2013,1
GSE52451,2014,0
GSE52462,2014,1
GSE52463,2014,1
GSE52464,2014,1
GSE52472,2014,0
GSE52477,2013,0
GSE52479,2013,0
GSE52490,2013,0
GSE52502,2014,1
GSE52514,2014,1
GSE52525,2014,0
GSE52527,2013,0
GSE52528,2013,0
GSE52529,2014,1
GSE52530,2013,1
GSE52531,2013,0
GSE52533,2013,0
GSE52535,2013,0
GSE52539,2014,1
GSE52549,2016,1
GSE52551,2013,1
GSE52555,2014,0
GSE52564,2014,0
GSE52583,2014,0
GSE52594,2014,1
GSE52596,2014,1
GSE52605,2013,1
GSE52616,2014,0
GSE52619,2014,1
GSE52623,2013,0
GSE52642,2014,1
GSE52643,2013,1
GSE52645,2014,0
GSE52652,2014,0
GSE52656,2014,0
GSE52657,2013,0
GSE52658,2013,0
GSE52665,2013,1
GSE52666,2014,1
GSE52681,2014,0
GSE52687,2014,1
GSE52689,2014,0
GSE52695,2016,1
GSE52715,2014,1
GSE52716,2014,1
GSE52717,2014,0
GSE52734,2013,1
GSE52738,2014,1
GSE52742,2014,0
GSE52744,2016,0
GSE52745,2013,0
GSE52757,2014,1
GSE52769,2014,0
GSE52778,2014,1
GSE52799,2014,1
GSE52801,2014,1
GSE52806,2014,0
GSE52809,2014,1
GSE52814,2014,0
GSE52834,2014,1
GSE52837,2014,0
GSE52848,2014,0
GSE52854,2013,1
GSE52856,2014,0
GSE52861,2014,1
GSE52864,2014,1
GSE52867,2013,0
GSE52868,2014,1
GSE52870,2014,1
GSE52878,2014,1
GSE52879,2015,0
GSE52884,2014,1
GSE52887,2014,0
GSE52899,2014,0
GSE52905,2014,1
GSE52910,2014,0
GSE52911,2016,1
GSE52912,2015,1
GSE52913,2014,1
GSE52927,2014,0
GSE52934,2014,1
GSE52935,2015,0
GSE52937,2015,0
GSE52946,2014,0
GSE52947,2014,0
GSE52957,2014,1
GSE52958,2014,0
GSE52966,2015,0
GSE52968,2013,1
GSE52973,2014,0
GSE52974,2014,1
GSE52975,2014,0
GSE52977,2014,0
GSE52995,2013,0
GSE53001,2014,1
GSE53013,2014,1
GSE53018,2015,1
GSE53022,2013,1
GSE53024,2013,0
GSE53026,2013,0
GSE53040,2015,1
GSE53053,2014,1
GSE53066,2016,1
GSE53073,2015,1
GSE53074,2014,1
GSE53075,2015,0
GSE53076,2013,1
GSE53078,2014,1
GSE53080,2014,1
GSE53081,2014,0
GSE53090,2014,0
GSE53093,2014,0
GSE53094,2014,1
GSE53096,2014,0
GSE53097,2014,1
GSE53098,2014,1
GSE53100,2014,0
GSE53105,2014,1
GSE53110,2014,1
GSE53111,2014,0
GSE53112,2014,1
GSE53133,2015,1
GSE53144,2014,0
GSE53150,2015,0
GSE53151,2015,1
GSE53172,2014,0
